Date,Water intake (L),Work (Y/N),Duration of shift (hrs),Steps ,School (Y/N),Temperature(H/W/C),Sick (Y/N)
4/17/2026,2,N,,"8,538",Y,W,N
4/18/2026,2.8,Y,6.5,"7,430",N,W,N
4/19/2026,3,Y,6.5,"9,414",N,H,N
4/20/2026,2.5,Y,4,"3,620",N,C,N
4/21/2026,1.5,N,,"4,773",Y,C,N
4/22/2026,3,Y,4,"10,796",N,W,N
4/23/2026,2.2,N,,"8,971",Y,W,N
4/24/2026,2,N,,"4,427",Y,C,Y
4/25/2026,3.5,N,,"13,101",Y,C,Y
4/26/2026,2.7,N,,598,N,C,Y
4/27/2026,2.5,Y,8,"13,562",N,W,N
4/28/2026,1.5,N,,"3,809",Y,W,N
29-Apr,3,Y,8,"14,002",N,W,N
4/30/2026,1,N,,"4,673",Y,C,N
,,,,,,,
5/1/2026,1.5,N,,"2,857",Y,W,N
5/2/2026,2.2,Y,5,"8,973",N,C,N
5/3/2026,1,N,,"1,802",N,C,N
5/4/2026,2.7,Y,7,"10,871",N,W,N
5/5/2026,2.8,N,,"2,704",Y,C,Y
5/6/2026,3,Y,4,"8,351",N,C,Y
5/7/2026,3,N,,"4,892",Y,W,Y
5/8/2026,2.8,N,,"3,812",Y,C,Y
5/9/2026,2.7,Y,6.5,"9,963",N,C,N
5/10/2026,2.5,Y,5,"8,367",N,C,N
5/11/2026,2.9,Y,8,"11,798",N,C,N
5/12/2026,1.8,N,,"3,874",Y,C,N
5/13/2026,2.7,Y,8,"10,976",N,W,N
5/14/2026,1.6,N,,"3,712",Y,C,N
5/15/2026,1.9,N,,"5,014",Y,C,N
5/16/2026,2.5,Y,5,"8,935",N,C,N
5/17/2026,1.9,N,,"3,891",N,C,N
5/18/2026,3.1,Y,8,"11,072",N,H,N
5/19/2026,2.5,N,,"4,961",Y,H,N
5/20/2026,2.9,Y,8,"10,236",N,H,N
5/21/2026,2,N,,"3,082",Y,C,N
5/22/2026,2.4,Y,4,"8,471",Y,C,N
5/23/2026,1.9,N,,"4,071",N,C,N
5/24/2026,1.2,N,,"2,472",N,C,N
5/25/2026,3,Y,8,"10,782",N,C,N
